activity_intensity,mask_type,pm25,pm10,co,no2,rmv_liters_per_min,duration_minutes,mask_efficiency,hour,temperature,humidity,wind_speed,inversion_factor,cumulative_toxic_load_score,pm25_retained_micrograms,co_blood_saturation_estimate
moderate_run,none,18.97,44.9,3.68,99.23,39.44,74.0,0.0,3.77,20.52,88.54,0.32,0.978,92.14,55.39,1.06
light_jog,cloth,60.72,99.27,6.25,62.77,23.73,83.3,0.3,3.13,19.37,92.2,1.01,0.949,80.21,83.98,0.91
high_intensity_run,medical,56.83,102.91,0.62,57.76,56.7,68.5,0.6,2.56,19.78,90.01,0.28,0.984,65.42,88.28,0.08
light_jog,n95,48.8,83.97,1.5,15.68,27.79,26.1,0.95,21.28,24.76,72.25,3.56,0.544,6.19,1.77,0.18
high_intensity_run,cloth,16.9,29.74,1.82,39.35,57.27,52.4,0.3,17.96,30.24,63.99,4.19,0.276,60.49,35.54,0.37
high_intensity_run,n95,35.46,45.19,3.6,51.23,59.52,56.1,0.95,11.59,30.22,57.88,5.64,0.23,5.15,5.92,0.04
light_jog,n95,48.57,67.35,1.28,144.16,27.22,11.4,0.95,22.92,22.65,70.73,1.35,0.777,0.0,0.75,0.01
light_jog,cloth,73.76,146.81,20.0,41.66,22.96,38.4,0.3,5.3,21.03,86.64,0.69,0.913,68.78,45.55,1.17
light_jog,none,104.41,154.67,8.61,92.64,25.88,44.6,0.0,8.33,24.99,68.96,2.97,0.604,85.75,120.55,0.79
moderate_run,n95,51.82,89.74,8.08,27.74,43.18,53.8,0.95,9.67,28.62,63.07,4.41,0.427,11.94,6.02,0.11
light_jog,none,52.82,67.72,7.77,60.65,24.13,22.0,0.0,17.5,29.39,52.08,5.36,0.194,49.51,28.01,0.36
high_intensity_run,n95,133.74,240.01,5.93,31.1,51.52,36.7,0.95,4.5,23.03,90.73,1.84,0.885,11.09,12.63,0.03
light_jog,medical,126.78,178.29,1.82,54.6,26.06,46.6,0.6,23.67,23.63,86.11,0.65,0.861,40.32,61.58,0.07
high_intensity_run,cloth,10.4,25.46,4.1,24.63,48.48,32.3,0.3,11.09,29.61,60.08,5.5,0.269,41.88,11.39,0.49
light_jog,medical,62.22,111.25,1.91,32.87,22.82,11.2,0.6,13.06,29.65,47.24,6.5,0.113,4.35,6.36,0.02
high_intensity_run,cloth,63.08,120.09,2.33,33.33,52.07,78.8,0.3,16.53,29.09,57.85,5.78,0.135,87.84,181.09,0.52
light_jog,n95,53.19,80.75,7.31,53.67,25.9,110.3,0.95,0.13,19.7,88.01,1.08,0.865,16.8,7.6,0.1
moderate_run,none,32.94,48.67,2.0,22.58,40.7,50.2,0.0,18.2,28.98,61.19,4.67,0.266,61.84,67.25,0.35
moderate_run,n95,19.61,26.41,1.75,31.83,43.3,50.7,0.95,13.65,31.66,46.9,6.08,0.114,6.78,2.15,0.02
light_jog,none,17.23,33.05,7.1,55.78,23.16,40.1,0.0,22.18,21.25,79.48,2.99,0.642,52.42,15.99,0.6
high_intensity_run,n95,61.78,98.4,1.48,25.97,50.71,17.2,0.95,15.72,33.55,49.97,6.77,0.067,4.04,2.69,0.03
light_jog,n95,65.39,109.31,2.3,20.67,26.05,13.6,0.95,11.79,31.82,52.13,5.98,0.201,1.23,1.16,0.0
moderate_run,cloth,36.76,84.0,2.57,21.09,37.44,10.0,0.3,16.07,33.25,59.22,5.67,0.128,19.52,9.63,0.0
moderate_run,none,88.77,161.51,5.67,86.09,38.07,75.5,0.0,6.78,21.96,75.99,2.7,0.73,99.96,254.98,1.48
moderate_run,n95,97.86,143.63,5.84,43.89,34.06,103.7,0.95,21.13,25.77,74.94,2.81,0.57,19.38,17.29,0.07
resting,n95,15.69,30.55,1.96,88.88,7.16,52.9,0.95,19.15,27.14,61.34,4.17,0.352,3.78,0.3,0.0
light_jog,cloth,53.13,88.56,0.96,33.01,28.08,32.0,0.3,18.83,27.34,64.38,3.95,0.341,31.24,33.46,0.0
light_jog,cloth,49.62,78.67,9.17,43.03,22.94,36.6,0.3,6.34,23.5,76.98,3.63,0.711,51.57,29.2,0.51
light_jog,n95,54.78,67.87,0.6,49.03,27.04,57.3,0.95,11.97,30.33,50.56,5.18,0.231,5.64,4.24,0.0
light_jog,none,52.13,94.17,4.18,54.15,24.88,73.3,0.0,19.63,26.41,72.6,4.52,0.369,79.43,95.06,0.72
high_intensity_run,medical,87.18,133.1,3.49,100.81,47.23,40.5,0.6,21.09,25.45,79.2,1.48,0.633,60.43,66.75,0.27
moderate_run,cloth,24.6,28.94,4.91,14.14,37.14,33.7,0.3,0.88,18.0,84.14,0.94,0.908,40.31,21.57,0.45
moderate_run,none,120.18,176.76,4.46,59.8,36.94,21.8,0.0,21.51,25.49,78.51,2.33,0.623,64.04,96.56,0.24
moderate_run,n95,35.32,62.05,2.74,21.2,38.99,29.9,0.95,9.57,28.86,55.41,4.63,0.424,3.48,2.06,0.02
light_jog,cloth,55.32,110.98,3.67,45.49,25.84,55.3,0.3,23.2,21.41,84.66,1.42,0.793,58.92,55.35,0.5
moderate_run,n95,21.97,26.8,5.13,26.4,45.92,48.3,0.95,3.61,21.65,89.54,2.05,0.894,5.16,2.44,0.07
light_jog,medical,60.77,118.98,5.0,59.76,22.14,46.0,0.6,3.64,20.98,81.88,1.08,0.942,35.99,24.77,0.31
light_jog,cloth,44.68,73.92,0.44,19.88,24.03,22.3,0.3,10.94,29.6,57.53,4.62,0.323,14.34,16.75,0.07
moderate_run,cloth,51.33,88.47,3.38,14.16,37.13,35.5,0.3,21.11,23.36,75.66,2.2,0.598,44.01,47.41,0.21
moderate_run,cloth,28.7,48.58,5.31,18.62,35.94,63.9,0.3,18.47,30.14,74.54,4.19,0.306,66.96,46.13,0.97
high_intensity_run,n95,20.1,34.11,1.74,69.56,55.42,88.4,0.95,17.83,27.45,70.66,5.28,0.215,9.76,4.92,0.15
light_jog,medical,93.67,146.55,5.66,77.4,25.0,62.1,0.6,3.41,20.17,88.08,1.71,0.913,53.45,58.17,0.22
moderate_run,n95,23.18,31.33,8.6,114.09,34.2,73.1,0.95,1.98,18.31,85.34,0.28,0.975,14.71,2.9,0.09
light_jog,cloth,66.2,122.42,3.02,10.61,25.04,11.4,0.3,12.67,32.22,54.06,5.37,0.186,10.61,13.26,0.2
light_jog,none,111.4,161.22,3.05,98.82,22.59,80.2,0.0,16.24,30.88,59.5,4.94,0.168,94.4,201.7,0.56
moderate_run,none,218.5,353.7,1.46,197.51,40.04,52.5,0.0,22.49,20.86,74.22,1.81,0.723,98.53,459.48,0.13
light_jog,n95,30.24,49.8,3.54,25.3,27.54,46.3,0.95,22.93,20.8,74.12,2.34,0.728,0.06,1.93,0.0
moderate_run,cloth,76.49,129.65,5.01,55.27,41.48,49.0,0.3,21.37,23.95,71.72,2.73,0.592,78.94,108.82,0.59
moderate_run,cloth,41.12,75.21,2.77,32.39,40.57,97.9,0.3,22.7,22.45,84.73,2.21,0.718,86.74,114.31,0.82
resting,cloth,97.53,185.51,2.41,62.02,6.7,31.3,0.3,19.52,24.42,71.05,4.26,0.374,13.02,14.31,0.07
high_intensity_run,cloth,49.16,94.32,3.9,88.3,55.29,49.0,0.3,14.44,31.11,53.89,5.63,0.122,83.83,93.28,0.65
moderate_run,medical,40.9,60.45,4.19,22.43,41.8,38.1,0.6,19.54,26.92,72.26,3.03,0.436,35.48,26.06,0.18
high_intensity_run,medical,36.89,56.17,5.67,23.53,57.04,23.1,0.6,4.65,22.84,83.11,1.23,0.911,35.96,19.44,0.33
moderate_run,n95,49.63,98.13,1.33,43.18,39.68,15.1,0.95,4.89,22.64,82.01,2.17,0.855,0.0,1.48,0.0
high_intensity_run,none,42.73,53.9,5.53,200.0,55.96,22.8,0.0,2.02,19.45,89.54,1.36,0.922,83.93,54.63,0.66
light_jog,medical,63.77,112.25,1.35,87.14,22.37,26.7,0.6,3.05,21.42,94.17,1.14,0.943,15.63,15.22,0.08
moderate_run,none,43.35,59.21,2.42,48.35,37.65,39.1,0.0,18.24,28.29,63.65,5.18,0.243,61.44,63.85,0.34
high_intensity_run,n95,38.74,68.26,13.82,82.41,58.11,73.1,0.95,7.95,22.17,69.87,3.55,0.604,29.72,8.23,0.16
light_jog,medical,29.56,48.93,4.42,73.47,26.68,22.9,0.6,18.11,30.58,63.07,4.49,0.27,20.73,7.22,0.17
moderate_run,cloth,63.75,115.92,3.75,44.82,40.3,26.4,0.3,17.76,29.87,65.72,3.94,0.278,49.95,47.45,0.34
high_intensity_run,n95,56.58,94.89,1.46,30.66,61.51,96.8,0.95,15.23,31.92,51.48,6.63,0.069,16.89,16.84,0.21
moderate_run,cloth,25.89,33.45,8.53,25.06,41.63,31.9,0.3,17.68,29.44,57.92,4.87,0.227,56.36,24.04,0.68
moderate_run,none,37.43,60.2,3.36,37.4,39.25,28.4,0.0,14.72,32.26,50.42,5.68,0.117,52.96,41.79,0.45
moderate_run,cloth,37.74,63.47,0.8,102.58,36.1,29.1,0.3,0.85,20.28,90.45,1.05,0.901,39.75,27.76,0.16
high_intensity_run,none,212.95,300.37,1.88,71.42,61.33,44.2,0.0,19.05,27.13,62.45,5.01,0.303,99.77,576.94,0.55
high_intensity_run,n95,36.33,56.51,4.97,37.39,58.39,39.4,0.95,2.81,19.35,90.16,1.65,0.917,4.15,4.18,0.07
moderate_run,medical,54.9,103.21,2.71,36.67,45.75,27.2,0.6,10.09,29.22,54.74,4.59,0.386,33.53,27.31,0.05
light_jog,n95,75.23,129.79,8.01,23.03,29.33,33.0,0.95,6.75,23.02,74.73,2.98,0.717,10.06,3.64,0.01
resting,n95,28.16,50.83,1.31,67.3,6.28,65.0,0.95,18.09,27.5,61.14,5.43,0.221,0.0,0.57,0.0
moderate_run,n95,32.82,62.15,4.08,61.74,35.89,47.5,0.95,21.81,23.59,85.36,2.57,0.635,7.34,2.8,0.0
high_intensity_run,cloth,51.17,85.69,2.52,41.94,42.4,83.8,0.3,23.58,22.34,88.39,1.56,0.81,84.55,127.23,0.64
moderate_run,none,39.17,47.33,4.7,41.53,42.94,35.1,0.0,1.93,19.05,86.57,0.2,0.978,71.37,58.98,0.58
light_jog,cloth,55.9,73.88,2.27,23.12,26.31,64.9,0.3,20.58,24.34,70.66,3.87,0.474,50.63,66.78,0.09
light_jog,n95,36.99,71.91,4.15,52.8,25.2,66.1,0.95,5.84,20.75,76.96,1.54,0.844,4.63,3.08,0.04
moderate_run,n95,55.57,81.48,9.73,103.32,36.08,26.2,0.95,20.01,24.41,65.55,2.37,0.504,8.02,2.62,0.11
high_intensity_run,n95,18.62,25.57,1.37,32.69,54.61,51.2,0.95,4.98,20.2,89.26,0.64,0.929,8.14,2.6,0.07
light_jog,none,27.57,58.04,12.85,16.39,25.37,42.4,0.0,18.38,29.64,59.57,4.02,0.309,72.66,29.64,1.19
moderate_run,none,50.0,84.09,20.0,56.23,42.5,11.9,0.0,3.0,18.12,94.28,1.38,0.931,67.39,25.34,0.88
high_intensity_run,n95,70.62,106.02,1.9,66.81,56.2,15.7,0.95,16.6,31.22,56.4,6.14,0.119,6.31,3.11,0.04
high_intensity_run,none,21.23,35.09,10.99,93.14,57.92,45.2,0.0,2.11,19.68,87.66,1.21,0.932,98.84,55.53,2.71
light_jog,medical,105.49,169.14,7.01,97.61,24.75,12.7,0.6,6.43,24.33,77.59,3.54,0.71,18.22,13.21,0.12
high_intensity_run,cloth,77.38,111.8,5.91,31.56,60.2,10.6,0.3,20.76,26.22,78.37,2.77,0.542,36.65,34.67,0.31
moderate_run,cloth,14.97,26.02,1.75,62.38,42.02,41.8,0.3,18.22,28.67,58.48,4.49,0.276,50.23,18.4,0.18
high_intensity_run,medical,88.76,149.53,2.13,65.41,49.78,10.0,0.6,5.0,23.12,84.76,0.61,0.929,16.27,17.67,0.07
resting,n95,23.99,43.89,2.06,30.13,7.78,20.6,0.95,12.03,33.08,54.19,5.33,0.22,1.66,0.19,0.02
moderate_run,n95,92.86,147.0,3.13,54.5,43.92,41.7,0.95,2.08,21.62,89.61,0.2,0.981,10.36,8.5,0.0
moderate_run,cloth,81.77,143.8,1.55,75.27,41.49,37.6,0.3,21.64,22.7,76.67,1.66,0.667,66.95,89.27,0.01
light_jog,cloth,70.84,115.94,1.73,51.97,25.56,37.6,0.3,18.61,25.77,62.16,4.77,0.286,39.38,47.63,0.04
moderate_run,n95,40.88,70.18,7.6,65.66,45.31,56.7,0.95,22.02,22.83,81.17,1.23,0.717,13.45,5.25,0.03
moderate_run,medical,59.85,113.26,8.15,50.32,34.77,70.2,0.6,14.72,32.11,46.8,5.0,0.151,68.4,58.47,0.84
moderate_run,cloth,144.3,226.7,1.98,36.83,43.97,74.3,0.3,7.51,22.9,77.86,2.13,0.707,96.24,329.94,0.41
resting,medical,33.79,53.68,15.41,15.35,6.73,101.5,0.6,17.2,30.09,58.39,5.64,0.167,32.32,9.24,0.32
moderate_run,none,56.81,110.1,1.48,33.75,43.5,10.0,0.0,3.85,18.0,83.74,2.27,0.879,28.46,24.71,0.04
light_jog,none,98.21,166.97,1.8,88.67,25.24,25.0,0.0,1.4,21.93,89.25,0.99,0.925,55.72,61.99,0.12
high_intensity_run,n95,11.43,18.62,1.08,21.86,49.53,19.7,0.95,1.33,20.67,84.94,1.6,0.891,0.22,0.56,0.0
high_intensity_run,medical,35.9,69.29,1.17,52.95,52.82,103.3,0.6,4.37,20.13,84.97,0.77,0.943,74.67,78.33,0.19
light_jog,none,107.2,162.34,8.47,52.48,27.04,42.2,0.0,23.25,21.64,83.87,2.36,0.749,80.67,122.35,0.85
light_jog,none,57.68,96.79,2.48,67.11,24.58,38.7,0.0,20.82,25.03,78.85,2.54,0.559,58.9,54.89,0.23
light_jog,n95,33.35,43.82,2.58,15.01,23.76,30.8,0.95,15.57,32.08,54.61,6.19,0.094,0.0,1.22,0.0
moderate_run,medical,35.73,51.87,3.14,13.26,37.99,29.7,0.6,4.83,21.66,78.8,1.64,0.884,24.1,16.15,0.09
high_intensity_run,medical,59.25,99.64,1.48,33.92,57.83,29.6,0.6,7.25,25.96,75.86,1.86,0.74,33.95,40.6,0.03
moderate_run,none,28.59,40.1,0.79,46.62,45.6,31.2,0.0,15.43,30.06,56.13,5.3,0.137,45.35,40.71,0.13
resting,n95,15.62,20.84,0.61,85.81,5.8,29.3,0.95,10.77,29.82,51.62,5.26,0.303,0.01,0.13,0.0
resting,n95,94.6,132.07,2.28,24.32,8.57,89.9,0.95,11.95,33.3,49.77,4.54,0.263,1.72,3.64,0.05
light_jog,cloth,31.41,46.37,4.0,23.96,25.41,122.7,0.3,19.66,26.11,76.43,3.9,0.402,75.68,68.52,0.92
high_intensity_run,cloth,36.12,69.08,1.38,41.4,57.55,118.6,0.3,17.29,30.19,56.96,4.28,0.239,87.9,172.52,0.51
moderate_run,medical,13.32,30.29,0.5,115.03,38.6,11.5,0.6,16.26,29.79,53.83,5.9,0.121,12.13,2.37,0.0
moderate_run,n95,34.25,50.77,5.5,51.87,39.99,27.0,0.95,10.37,32.08,59.39,4.14,0.388,5.92,1.85,0.0
light_jog,n95,117.04,184.2,7.82,71.87,25.39,10.0,0.95,3.65,20.89,83.78,1.5,0.921,0.0,1.49,0.0
high_intensity_run,n95,106.42,152.79,1.32,160.98,50.38,10.0,0.95,0.01,19.29,78.52,1.82,0.821,2.48,2.68,0.15
light_jog,medical,52.77,102.81,1.33,75.14,23.39,121.0,0.6,8.63,28.29,62.57,3.81,0.539,56.95,59.72,0.19
high_intensity_run,cloth,44.61,59.09,6.42,58.35,60.21,50.3,0.3,2.71,18.81,85.14,0.99,0.949,86.75,94.52,1.19
high_intensity_run,cloth,62.78,112.96,0.92,25.73,48.17,63.9,0.3,0.81,21.11,85.12,2.01,0.851,75.05,135.21,0.22
moderate_run,n95,88.54,140.81,1.43,55.51,41.41,36.9,0.95,2.04,21.24,84.92,0.53,0.964,5.79,6.76,0.0
high_intensity_run,none,26.49,50.8,10.36,81.59,53.37,38.8,0.0,3.53,22.91,80.6,0.88,0.953,93.8,54.87,1.87
light_jog,none,74.65,127.8,2.54,27.98,23.08,78.8,0.0,2.69,20.37,85.49,1.43,0.928,76.39,135.7,0.48
moderate_run,medical,101.96,151.01,3.8,91.74,46.31,42.0,0.6,2.35,20.08,92.39,1.26,0.932,68.91,79.25,0.25
resting,cloth,51.07,96.32,1.37,40.85,6.47,43.0,0.3,8.37,24.14,65.59,3.59,0.57,11.9,9.94,0.01
moderate_run,n95,54.88,82.96,7.28,40.2,36.38,60.8,0.95,21.53,23.11,76.29,1.8,0.652,8.77,6.07,0.07
light_jog,none,26.42,37.51,2.38,19.71,24.63,56.7,0.0,11.86,30.22,60.53,6.2,0.186,44.91,36.86,0.28
resting,cloth,74.47,118.75,7.31,62.72,6.57,41.1,0.3,23.79,20.76,82.32,0.66,0.867,23.22,14.07,0.23
resting,none,102.31,189.61,1.68,49.77,7.0,30.3,0.0,12.14,30.68,66.32,7.08,0.126,18.47,21.7,0.0
light_jog,medical,139.99,237.74,1.56,25.88,25.31,28.9,0.6,23.01,22.69,86.33,1.01,0.8,31.72,40.89,0.0
moderate_run,n95,34.68,69.27,2.68,55.43,40.75,74.9,0.95,19.66,25.86,68.72,3.06,0.444,5.86,5.3,0.06
moderate_run,cloth,45.69,59.66,1.83,80.31,39.6,43.6,0.3,22.49,22.93,79.94,2.19,0.705,58.74,55.18,0.11
light_jog,cloth,125.6,169.11,2.24,75.4,23.6,24.6,0.3,21.98,22.89,84.27,2.59,0.646,39.75,51.13,0.02
high_intensity_run,none,84.09,167.57,1.87,55.29,57.83,68.0,0.0,22.62,21.45,78.64,1.33,0.757,100.0,330.78,0.74
high_intensity_run,medical,84.67,118.03,1.41,40.4,54.51,40.6,0.6,23.97,19.97,83.79,2.36,0.793,53.96,75.02,0.05
light_jog,n95,17.47,17.47,5.22,36.47,24.01,11.2,0.95,8.57,27.17,73.74,4.07,0.53,4.32,0.24,0.07
moderate_run,n95,87.62,160.22,4.15,18.16,44.74,25.6,0.95,20.37,27.06,70.25,3.11,0.496,5.84,5.02,0.0
moderate_run,none,33.32,48.96,1.2,22.88,39.61,40.7,0.0,12.84,30.85,50.95,6.12,0.141,49.81,53.75,0.34
moderate_run,medical,73.2,122.93,12.6,43.47,43.49,13.1,0.6,2.35,20.08,85.27,1.74,0.909,31.97,16.74,0.32
moderate_run,none,29.4,39.01,1.6,23.11,43.93,48.8,0.0,19.2,27.84,58.51,4.99,0.314,57.15,63.05,0.37
moderate_run,none,153.48,292.99,5.93,51.09,44.12,53.8,0.0,7.02,24.45,78.64,2.98,0.7,97.07,364.63,1.26
light_jog,none,36.42,53.72,0.59,130.06,26.38,71.5,0.0,3.91,18.62,85.62,0.54,0.964,80.12,68.74,0.1
light_jog,none,127.64,209.36,1.98,91.18,25.0,46.0,0.0,14.19,32.57,56.3,5.24,0.145,82.5,146.7,0.42
moderate_run,none,47.07,77.65,0.75,27.16,39.8,26.5,0.0,18.72,26.17,63.41,3.47,0.358,39.97,49.71,0.0
moderate_run,n95,56.32,86.53,1.93,146.04,39.22,11.5,0.95,0.01,19.0,83.93,0.94,0.866,1.58,1.27,0.0
high_intensity_run,none,33.43,51.58,4.37,91.85,45.47,11.1,0.0,7.15,23.11,71.33,2.97,0.691,40.35,16.87,0.18
resting,n95,45.73,87.4,4.38,33.58,7.4,36.3,0.95,0.56,20.23,89.47,1.3,0.875,0.0,0.61,0.02
light_jog,n95,39.82,59.68,1.58,50.7,25.49,36.3,0.95,19.08,26.27,62.5,4.77,0.317,4.07,1.84,0.06
resting,medical,59.94,91.26,3.31,44.85,7.46,12.8,0.6,21.22,22.39,77.2,1.47,0.644,4.03,2.29,0.05
light_jog,cloth,53.45,79.79,2.96,9.52,24.77,48.1,0.3,15.67,31.89,53.84,5.76,0.117,41.0,44.56,0.14
resting,n95,52.81,73.06,2.19,22.72,7.37,30.6,0.95,23.45,21.25,79.97,1.81,0.789,2.67,0.6,0.06
moderate_run,none,70.88,98.49,4.83,64.9,35.59,21.0,0.0,19.87,27.11,67.6,1.9,0.518,56.37,52.86,0.39
moderate_run,cloth,130.07,201.68,4.0,20.5,36.26,17.2,0.3,1.73,19.14,88.0,1.28,0.92,39.97,56.71,0.17
moderate_run,cloth,117.49,162.69,2.43,149.68,32.08,90.4,0.3,2.71,20.03,86.45,2.68,0.865,94.35,238.42,0.4
moderate_run,n95,74.28,149.87,10.78,76.92,39.57,10.1,0.95,8.65,27.98,74.53,4.39,0.508,4.06,1.49,0.04
resting,n95,59.4,84.51,2.01,55.5,6.57,104.4,0.95,10.91,28.57,58.51,5.41,0.286,3.14,2.04,0.0
moderate_run,n95,32.98,52.34,1.68,19.93,37.11,21.8,0.95,5.23,21.22,81.17,1.68,0.867,7.87,1.33,0.0
resting,medical,43.11,85.67,4.71,60.51,7.19,110.0,0.6,14.81,33.06,50.95,6.08,0.096,25.93,13.63,0.14
high_intensity_run,cloth,19.19,27.59,3.56,55.82,53.13,12.0,0.3,14.63,31.94,51.33,6.89,0.057,24.33,8.54,0.08
resting,n95,117.31,182.15,0.87,89.05,6.2,50.7,0.95,0.92,20.06,84.85,0.89,0.912,0.46,1.84,0.0
moderate_run,n95,75.16,120.73,0.9,90.52,48.14,80.6,0.95,1.66,19.98,84.64,1.73,0.896,14.23,14.58,0.1
high_intensity_run,cloth,123.62,212.2,4.99,145.71,54.84,81.6,0.3,4.61,22.82,86.34,1.84,0.881,95.91,387.37,1.49
moderate_run,n95,79.17,129.64,1.47,21.4,36.53,50.6,0.95,17.04,30.17,63.57,6.23,0.131,3.71,7.32,0.0
moderate_run,n95,64.94,132.53,3.64,36.69,37.86,46.4,0.95,8.9,27.45,64.0,4.74,0.471,6.81,5.7,0.01
moderate_run,cloth,43.06,88.28,2.77,30.96,39.45,14.2,0.3,2.98,20.18,89.13,1.2,0.94,24.88,16.94,0.24
light_jog,none,16.74,28.2,5.28,83.56,24.65,68.3,0.0,3.7,18.64,83.59,1.32,0.929,77.46,28.16,0.75
moderate_run,none,55.14,82.02,4.15,29.13,44.17,76.1,0.0,16.39,31.47,55.82,5.34,0.153,90.05,185.31,1.33
high_intensity_run,n95,52.03,84.13,0.89,21.16,54.65,41.3,0.95,22.81,20.99,76.83,2.41,0.716,3.9,5.87,0.11
high_intensity_run,none,75.55,115.6,1.38,40.74,63.16,45.4,0.0,10.29,27.87,56.43,4.56,0.373,88.21,216.52,0.27
moderate_run,cloth,89.34,129.48,10.33,14.43,38.62,150.0,0.3,6.48,21.57,73.44,2.6,0.754,98.74,362.25,3.82
light_jog,medical,93.05,140.74,5.02,55.19,25.85,15.3,0.6,2.45,18.19,87.29,0.9,0.952,15.02,14.75,0.16
high_intensity_run,n95,50.85,74.24,4.31,39.5,59.5,51.5,0.95,11.53,28.07,50.94,4.69,0.281,5.35,7.78,0.0
moderate_run,n95,18.25,31.39,14.84,31.34,43.82,67.3,0.95,20.14,24.55,61.71,3.54,0.456,15.12,2.69,0.21
light_jog,n95,110.02,187.08,6.95,77.85,27.62,10.9,0.95,20.29,25.02,65.9,2.39,0.525,0.0,1.66,0.0
light_jog,cloth,24.87,45.23,3.36,14.71,24.46,11.7,0.3,8.45,27.98,67.2,3.52,0.567,11.98,5.0,0.03
light_jog,none,37.72,66.75,1.47,48.37,24.99,24.6,0.0,22.09,22.95,76.2,2.6,0.655,33.14,23.19,0.19
moderate_run,medical,33.46,56.37,6.53,38.71,32.07,26.0,0.6,17.19,30.33,55.6,5.28,0.184,20.24,11.15,0.1
light_jog,none,59.64,82.11,9.04,47.0,24.61,23.4,0.0,23.03,23.26,83.88,1.81,0.762,52.29,34.36,0.35
resting,medical,52.27,79.85,4.47,107.86,7.61,26.6,0.6,0.4,18.0,83.16,0.7,0.898,11.77,4.24,0.03
resting,n95,40.56,59.72,13.57,31.56,7.5,27.1,0.95,6.9,24.76,74.8,3.42,0.686,0.0,0.41,0.06
high_intensity_run,medical,105.59,166.84,5.1,50.08,54.62,40.9,0.6,1.73,20.39,96.5,0.47,0.96,63.51,94.3,0.38
resting,medical,21.47,32.55,3.36,42.33,7.95,21.4,0.6,19.8,27.31,67.51,4.06,0.404,7.86,1.46,0.0
resting,medical,28.88,47.42,6.05,24.92,6.78,33.7,0.6,14.55,29.78,51.36,6.75,0.064,6.02,2.64,0.11
moderate_run,n95,14.36,24.34,4.75,16.29,37.71,39.6,0.95,19.99,25.32,71.49,2.59,0.492,6.92,1.07,0.13
light_jog,cloth,32.62,60.85,6.69,122.74,24.06,30.7,0.3,23.41,20.21,80.74,1.31,0.811,47.76,16.9,0.36
high_intensity_run,cloth,25.51,42.48,0.93,33.09,50.06,51.4,0.3,3.27,18.78,84.65,0.84,0.957,53.15,45.94,0.23
high_intensity_run,none,59.48,97.67,3.45,20.54,57.74,87.4,0.0,13.89,34.77,51.63,6.16,0.104,98.58,300.23,1.59
moderate_run,medical,73.4,130.39,2.96,13.87,40.92,14.9,0.6,3.19,19.61,87.91,0.55,0.972,16.19,17.91,0.02
moderate_run,none,26.71,45.73,2.0,37.66,41.95,20.2,0.0,17.77,30.42,56.36,4.18,0.267,32.53,22.61,0.04
moderate_run,cloth,7.96,11.47,3.02,49.56,38.67,62.1,0.3,21.47,24.59,78.99,2.53,0.61,54.26,13.38,0.36
resting,n95,22.9,31.52,2.29,99.57,6.97,47.5,0.95,22.22,20.97,86.08,1.79,0.705,0.72,0.38,0.0
light_jog,none,24.45,31.69,5.26,31.42,20.64,65.0,0.0,9.99,28.36,53.37,4.66,0.39,58.61,32.81,0.75
light_jog,medical,31.47,53.17,1.17,38.54,25.75,59.7,0.6,12.77,31.77,54.49,6.41,0.129,25.59,19.36,0.0
light_jog,none,104.12,160.5,1.19,97.87,25.2,26.4,0.0,2.42,20.51,87.53,0.2,0.987,53.25,69.36,0.32
moderate_run,none,22.31,29.83,3.14,99.96,36.48,91.3,0.0,21.06,24.75,73.76,2.75,0.568,97.4,74.29,0.94
resting,none,28.62,34.07,10.48,65.54,6.94,92.6,0.0,4.21,23.08,86.38,1.05,0.933,57.97,18.4,0.54
light_jog,none,23.71,50.92,2.86,42.71,24.48,20.6,0.0,2.76,21.21,93.16,1.06,0.946,25.71,11.98,0.09
moderate_run,n95,64.75,103.75,3.43,108.28,45.65,84.2,0.95,3.99,21.58,86.65,0.98,0.941,24.29,12.44,0.05
moderate_run,n95,13.81,29.98,2.74,87.79,36.6,89.3,0.95,20.15,26.92,74.56,2.69,0.499,14.28,2.26,0.15
light_jog,medical,13.99,25.19,16.23,12.05,25.66,108.0,0.6,17.08,31.78,57.38,5.47,0.17,76.05,15.52,1.66
resting,medical,62.83,78.74,6.14,48.62,6.39,60.4,0.6,9.16,27.04,66.08,5.91,0.392,15.8,9.7,0.0
light_jog,n95,146.93,228.14,2.51,86.7,23.88,32.4,0.95,22.91,19.96,80.25,1.71,0.758,5.5,5.69,0.15
light_jog,n95,68.01,97.39,3.62,82.06,25.55,25.3,0.95,2.35,19.3,88.08,0.57,0.967,6.93,2.2,0.0
high_intensity_run,cloth,36.47,59.98,1.73,31.37,54.07,32.5,0.3,18.17,27.12,60.61,4.21,0.287,43.7,44.8,0.13
high_intensity_run,none,225.61,445.04,14.51,37.41,54.97,16.5,0.0,0.15,19.51,86.35,1.85,0.828,88.66,204.96,1.24
moderate_run,medical,35.0,65.5,1.09,90.99,41.06,52.1,0.6,19.39,27.08,60.5,3.37,0.408,45.97,29.93,0.17
moderate_run,n95,42.73,65.26,1.91,55.35,38.42,36.2,0.95,23.18,20.9,78.84,2.43,0.74,2.31,2.97,0.09
moderate_run,none,29.32,33.43,5.2,30.6,42.83,14.3,0.0,15.91,32.04,58.97,4.71,0.173,31.84,18.0,0.15
